original_uid,new_uid
Arts & Crafts Store,0
Bridge,1
Home (private),2
Food Truck,3
Coffee Shop,4
Electronics Store,5
Mobile Phone Shop,6
Cafe,7
Automotive Shop,8
Food & Drink Shop,9
Restaurant,10
Government Building,11
Ferry,12
Office,13
Other Great Outdoors,14
Building,15
Music Venue,16
Subway,17
Student Center,18
Park,19
Road,20
Burger Joint,21
Bank,22
Clothing Store,23
Neighborhood,24
Ice Cream Shop,25
Department Store,26
Tattoo Parlor,27
Mall,28
Deli / Bodega,29
University,30
Bus Station,31
Light Rail,32
Mexican Restaurant,33
General College & University,34
Animal Shelter,35
American Restaurant,36
Residential Building (Apartment / Condo),37
Airport,38
Cuban Restaurant,39
BBQ Joint,40
Other Nightlife,41
Gym / Fitness Center,42
College Academic Building,43
Stadium,44
Church,45
Train Station,46
Tanning Salon,47
Bar,48
Medical Center,49
Spanish Restaurant,50
Moving Target,51
Factory,52
School,53
Hotel,54
Burrito Place,55
Fast Food Restaurant,56
Hardware Store,57
Performing Arts Venue,58
Asian Restaurant,59
Bookstore,60
Campground,61
Cupcake Shop,62
Gas Station / Garage,63
Parking,64
Toy / Game Store,65
General Travel,66
Laundry Service,67
Chinese Restaurant,68
Convention Center,69
Drugstore / Pharmacy,70
Community College,71
Italian Restaurant,72
Plaza,73
Bagel Shop,74
Vegetarian / Vegan Restaurant,75
Candy Store,76
Miscellaneous Shop,77
Concert Hall,78
Pizza Place,79
Athletic & Sport,80
Tea Room,81
Movie Theater,82
Comedy Club,83
Sandwich Place,84
Scenic Lookout,85
Sporting Goods Shop,86
Housing Development,87
Theater,88
Synagogue,89
General Entertainment,90
Pool,91
German Restaurant,92
Bowling Alley,93
Smoke Shop,94
Post Office,95
Harbor / Marina,96
Latin American Restaurant,97
Beer Garden,98
Outdoors & Recreation,99
River,100
Museum,101
Breakfast Spot,102
Playground,103
Malaysian Restaurant,104
Diner,105
Bakery,106
Fried Chicken Joint,107
French Restaurant,108
Beach,109
Arcade,110
Donut Shop,111
High School,112
Snack Place,113
College & University,114
Rest Area,115
Furniture / Home Store,116
Recycling Facility,117
Bridal Shop,118
Seafood Restaurant,119
Art Gallery,120
Salad Place,121
Nursery School,122
Sculpture Garden,123
Wings Joint,124
Paper / Office Supplies Store,125
Japanese Restaurant,126
Salon / Barbershop,127
Law School,128
Library,129
Gastropub,130
African Restaurant,131
Falafel Restaurant,132
City,133
Eastern European Restaurant,134
Thai Restaurant,135
Middle Eastern Restaurant,136
Professional & Other Places,137
Event Space,138
Convenience Store,139
Taco Place,140
Jewelry Store,141
Flea Market,142
Spa / Massage,143
Garden,144
Thrift / Vintage Store,145
Hobby Shop,146
Art Museum,147
Ramen /  Noodle House,148
Pet Store,149
Brewery,150
Hot Dog Joint,151
Cajun / Creole Restaurant,152
Dessert Shop,153
Mac & Cheese Joint,154
Cemetery,155
Korean Restaurant,156
Sushi Restaurant,157
Caribbean Restaurant,158
Cosmetics Shop,159
Historic Site,160
Casino,161
Indian Restaurant,162
Brazilian Restaurant,163
Zoo,164
Mediterranean Restaurant,165
Dumpling Restaurant,166
Swiss Restaurant,167
Travel Lounge,168
Southern / Soul Food Restaurant,169
Trade School,170
Soup Place,171
Temple,172
Taxi,173
Camera Store,174
Australian Restaurant,175
Funeral Home,176
Shrine,177
Science Museum,178
Gift Shop,179
Food,180
Travel & Transport,181
Steakhouse,182
Pool Hall,183
Vietnamese Restaurant,184
Elementary School,185
Aquarium,186
Middle School,187
College Stadium,188
South American Restaurant,189
Dim Sum Restaurant,190
Arts & Entertainment,191
Tapas Restaurant,192
Antique Shop,193
Medical School,194
Racetrack,195
Filipino Restaurant,196
Molecular Gastronomy Restaurant,197
Design Studio,198
Military Base,199
Public Art,200
Rental Car Location,201
Market,202
Financial or Legal Service,203
Spiritual Center,204
Scandinavian Restaurant,205
Fair,206
Music Store,207
Garden Center,208
