pid,category,region,latitude,longitude,visit_time_and_count
0,Arts & Crafts Store,0,40.719810375488535,-74.00258103213994,"{18: 27, 23: 2}"
1,Bridge,1,40.60679958140643,-74.04416981025437,"{17: 18, 22: 13, 14: 13, 23: 13, 21: 12, 1: 10, 0: 7, 16: 7, 12: 6, 13: 6, 2: 5, 18: 5, 20: 5, 19: 2, 11: 2, 4: 2, 3: 2, 10: 2, 15: 2}"
2,Home (private),2,40.716161684843215,-73.88307005845945,"{17: 28, 7: 11, 4: 8, 6: 8, 19: 8, 8: 8, 18: 8, 5: 7, 2: 5, 3: 5, 16: 4}"
3,Food Truck,3,40.74010382743943,-73.98965835571289,"{18: 4, 15: 2, 17: 2, 16: 2}"
4,Coffee Shop,4,40.75159143134631,-73.9741214009634,"{14: 5, 17: 2, 20: 2}"
5,Home (private),1,40.61915106755737,-74.03588760058483,"{23: 6, 0: 5, 1: 3, 18: 2, 16: 2}"
6,Electronics Store,3,40.74260751232707,-73.99270534515381,"{16: 3, 20: 3, 23: 3, 18: 2, 22: 2, 2: 2}"
7,Mobile Phone Shop,3,40.741190550641626,-73.98966309787518,"{16: 12, 17: 9, 15: 9, 19: 8, 20: 8, 21: 7, 18: 6, 12: 6, 13: 4, 14: 3}"
8,Cafe,0,40.70458850287455,-74.00963933087027,"{18: 8, 19: 4}"
9,Automotive Shop,5,40.86198150306815,-74.04790453737951,"{16: 21, 15: 8, 17: 7, 14: 6, 18: 5, 12: 5, 11: 3, 13: 2}"
10,Food & Drink Shop,6,40.82678953781387,-73.94950923509141,"{18: 6, 23: 6, 0: 6, 20: 3, 19: 3}"
11,Restaurant,4,40.75527487548953,-73.97880613803864,"{15: 24, 17: 5, 18: 2}"
12,Government Building,7,40.88302032878746,-74.0758752822876,"{12: 29, 18: 10, 11: 10, 13: 5, 16: 4, 20: 4, 17: 4, 19: 4, 15: 3}"
13,Ferry,8,40.76067264603736,-74.00367709397945,"{11: 4, 22: 4, 10: 3, 23: 2, 18: 2}"
14,Office,3,40.736676,-73.98891,"{13: 27, 18: 9, 15: 8, 17: 7, 14: 6, 16: 5, 19: 5, 20: 4, 21: 2}"
15,Other Great Outdoors,4,40.79059946897114,-73.98023377661316,"{13: 6, 15: 4, 14: 4, 10: 2, 9: 2, 11: 2}"
16,Building,4,40.75230660947181,-73.971854320252,"{16: 9, 19: 8, 17: 8, 15: 6, 13: 6, 18: 5, 14: 5, 20: 3}"
17,Office,9,40.655535144394925,-74.00862937888984,"{13: 14, 14: 8, 12: 4, 18: 3, 17: 3, 15: 2, 19: 2}"
