pid,semitic_codes
0,"[1, 2, 45]"
1,"[8, 9, 51]"
2,"[45, 13, 50]"
3,"[62, 20, 51]"
4,"[60, 60, 2]"
5,"[42, 42, 40]"
6,"[62, 7, 42]"
7,"[53, 13, 26]"
8,"[21, 7, 21]"
9,"[62, 63, 57]"
10,"[60, 56, 26]"
11,"[62, 63, 50]"
12,"[3, 63, 58]"
13,"[49, 23, 6]"
14,"[8, 39, 12]"
15,"[20, 31, 2]"
16,"[26, 60, 23]"
17,"[7, 35, 63]"
18,"[1, 58, 16]"
19,"[1, 12, 19]"
20,"[52, 15, 54]"
21,"[60, 11, 49]"
22,"[51, 53, 58]"
23,"[46, 6, 52]"
24,"[52, 15, 54]"
25,"[52, 47, 31]"
26,"[46, 6, 52]"
27,"[51, 25, 1]"
28,"[26, 62, 11]"
29,"[38, 48, 62]"
30,"[51, 29, 9]"
31,"[2, 48, 5]"
32,"[15, 29, 38]"
33,"[15, 43, 30]"
34,"[19, 21, 44]"
35,"[60, 39, 59]"
36,"[2, 53, 48]"
37,"[7, 8, 63]"
38,"[13, 54, 24]"
39,"[19, 44, 49]"
40,"[51, 60, 2]"
41,"[42, 50, 61]"
42,"[40, 59, 10]"
43,"[62, 5, 14]"
44,"[62, 46, 37]"
45,"[62, 32, 21]"
46,"[4, 23, 18]"
47,"[33, 21, 50]"
48,"[62, 14, 36]"
49,"[62, 37, 8]"
50,"[26, 60, 23]"
51,"[62, 51, 44]"
52,"[27, 36, 22]"
53,"[62, 57, 57]"
54,"[2, 30, 46]"
55,"[21, 33, 37]"
56,"[25, 27, 25]"
57,"[62, 8, 43]"
58,"[62, 59, 11]"
59,"[21, 10, 39]"
60,"[14, 26, 29]"
61,"[17, 17, 28]"
62,"[62, 5, 21]"
63,"[14, 26, 55]"
64,"[14, 4, 29]"
65,"[23, 27, 30]"
66,"[33, 37, 5]"
67,"[62, 12, 25]"
68,"[60, 33, 55]"
69,"[62, 40, 45]"
70,"[1, 42, 33]"
71,"[51, 40, 42]"
72,"[1, 12, 7]"
73,"[15, 43, 16]"
74,"[21, 10, 39]"
75,"[62, 56, 19]"
76,"[41, 20, 51]"
77,"[41, 4, 41]"
78,"[0, 2, 53]"
79,"[1, 45, 34]"
80,"[62, 63, 42]"
81,"[62, 34, 37]"
82,"[17, 17, 28]"
83,"[48, 24, 27]"
84,"[49, 28, 38]"
85,"[58, 55, 4]"
86,"[62, 34, 31]"
87,"[51, 52, 25]"
88,"[7, 19, 56]"
89,"[51, 50, 12]"
90,"[1, 52, 13]"
91,"[21, 10, 4]"
92,"[36, 11, 9]"
93,"[21, 16, 35]"
94,"[62, 49, 0]"
95,"[51, 25, 1]"
96,"[7, 30, 58]"
97,"[52, 45, 48]"
98,"[42, 19, 32]"
99,"[62, 0, 7]"
100,"[62, 36, 15]"
101,"[8, 55, 24]"
102,"[27, 61, 56]"
103,"[9, 9, 61]"
104,"[53, 38, 20]"
105,"[52, 28, 11]"
106,"[57, 3, 47]"
107,"[52, 28, 36]"
108,"[63, 61, 59]"
109,"[62, 18, 41]"
110,"[52, 47, 32]"
111,"[48, 11, 27]"
112,"[53, 41, 8]"
113,"[32, 1, 3]"
114,"[57, 3, 47]"
115,"[23, 41, 6]"
116,"[7, 30, 46]"
117,"[52, 46, 18]"
118,"[19, 24, 35]"
119,"[62, 32, 15]"
