uid,pid_sequence
0,"[0, 422, 0, 1452, 1781, 1848, 0, 0, 158, 2176, 2176, 0, 0, 3197, 0, 0, 0, 0, 283, 899, 3751, 402, 2863, 3753, 352, 3302, 3753, 3302, 283, 3302, 352, 3431, 3431, 352, 3872, 0, 402, 357, 336, 402, 0, 3872, 0, 1614, 3872, 0, 3872, 0, 3872, 0, 3872, 0, 3872, 0, 3872, 0, 3872, 0, 0, 0, 3872, 0, 3872, 3872, 0, 3872, 0, 0, 0]"
1,"[1, 401, 1028, 1031, 516, 84, 76, 1031, 1028, 1031, 1, 1028, 1031, 1, 516, 401, 1028, 1031, 516, 1031, 1, 516, 1031, 1, 516, 401, 1028, 1031, 1, 1028, 1031, 1028, 1031, 516, 401, 1031, 1, 1028, 516, 1, 1031, 1, 1, 516, 401, 1028, 1031, 1, 401, 1028, 1031, 1, 516, 401, 1031, 1, 1028, 1031, 1, 516, 401, 1028, 1031, 1, 1, 1031, 1, 516, 1031, 1, 1028, 1031, 1, 401, 1028, 1031, 1, 516, 1, 1028, 1031, 1, 1031, 1, 516, 1031, 1, 1791, 1028, 1031, 1, 1028, 1031, 516, 1028, 1031, 1, 516, 1028, 1031, 1, 516, 401, 1028, 1031, 1, 516, 401, 1028, 1031, 1, 516, 1028, 1031, 1, 516, 401, 1028, 1031, 1, 1028, 1031, 1028, 1031, 1, 516, 1031, 1028, 1028, 1031, 1, 516, 401, 1521, 1028, 1031, 1, 1031, 1028, 1031, 1, 516, 1, 1031, 1, 516, 1028, 1031, 1, 1028, 1031, 1, 1028, 1031, 1, 516, 1028, 1031, 1028, 1028, 1031, 516, 516, 1028, 1031]"
2,"[2, 2, 2, 2, 2, 1608, 384, 1793, 2, 2, 1942, 1946, 1608, 210, 1953, 2, 2, 2, 2, 2638, 1793, 2, 2, 1946, 1793, 2, 2, 3004, 1793, 3062, 3085, 48, 3062, 2, 2, 1942, 1953, 1608, 1953, 210, 2638, 3085, 2, 2, 1942, 1608, 1953, 210, 1946, 2, 3004, 2, 2, 3490, 61, 2, 3004, 1942, 1946, 2638, 2, 2, 1942, 1946, 2, 3490, 2, 2, 1942, 2638, 1793, 2, 2, 2, 3085, 3490, 2, 2, 1608, 1946, 2638, 137, 2, 2, 2, 2, 1942, 137, 1793, 2638, 2, 2, 3490, 1942, 2638, 137, 1793, 2, 2, 1608, 1953, 1793, 2638, 2, 3490, 1953, 2, 2, 2, 1942, 1946, 2638, 3085, 1946, 2, 2, 4238, 4238, 1946, 3085, 3085, 3490, 3490, 2, 1946, 4287, 1608, 1953, 1793, 2, 2, 1606, 3004, 2, 3490, 1942, 1946, 137, 3085, 2, 1946, 3490, 2638, 3085, 2, 2, 4287, 1953, 1608, 1946, 3085, 1793, 2638, 1946, 2, 2, 1606, 2, 1325, 2242, 1946, 2, 1946, 2638, 3085, 137, 3490, 1946, 2, 2, 4287, 1953, 2, 2, 2, 2638, 2, 1793, 4295, 3085, 2638, 1946, 2638, 137, 2, 2, 1946, 210, 1953, 1608, 4589, 2, 2, 1946, 1793, 1946, 2638, 2638, 1953, 1946, 1793, 2, 1946, 2638, 3085, 2, 3085, 2, 1793, 2, 2, 4287, 1953, 1608, 81, 1946, 1793, 2, 1608, 1953, 2, 2, 2, 2, 3004, 3004, 3004, 2, 1942, 2638, 137, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4287, 210, 3085, 4287, 1608, 2, 4287, 2, 4287, 1953, 1608, 2, 1606, 3004, 4287, 81, 210, 2, 4287, 4287, 1953, 1608, 2, 1608, 1946, 2, 2, 2, 2, 2, 2, 1946, 1953, 4287, 2, 2, 598, 4287, 1953, 1608, 2, 1608, 1953, 1608]"
3,"[3, 23, 2136, 557, 442, 2646, 18, 26, 2971, 516, 3018, 2272, 69, 102, 443, 310, 2939, 2865, 4330, 908, 4330, 4371, 4330, 4330, 4307, 4330, 4371, 4330, 4371, 4092, 4371, 4371, 4371, 2856, 4371, 26, 2410, 4371, 1729, 383, 1720, 4371, 4330, 4371, 4330, 1355, 4371, 4330, 4106, 4330, 4371, 406, 1966, 4330, 3655, 4489, 4330, 1018, 1576, 3655, 4330, 292, 4413, 1982, 3148, 129, 1659, 3276]"
4,"[4, 16, 1636, 1704, 1872, 1734, 16, 16, 2656, 16, 16, 2656, 2656, 16, 1636, 16, 2656, 16, 16, 1843, 2656, 16, 16, 1704, 1636, 16, 16, 16, 3527, 1008, 1704, 2656, 16, 3754, 1704, 16, 16, 16, 482, 16, 1386, 1416, 1008, 3754, 4, 16, 1008, 16, 1704, 3754, 16, 2656, 3417, 1704, 16, 2990, 1704, 1636, 1704, 3516, 16, 16, 2656, 16, 4416, 16, 1872, 1704, 4416, 4416, 16, 16, 16, 1008, 4416, 608, 608, 4416, 16, 16, 1008, 16, 443, 1008, 3754, 1008, 16, 4416, 3754, 3754, 16, 2656, 16, 4, 16, 4416, 1008, 16, 16, 1008, 16, 4, 3293, 1636, 1008, 3327, 1030, 16, 870, 16, 482, 4, 1008, 16, 1008, 16, 1029, 16, 3754, 3754, 16, 4, 16, 4, 16, 4, 16, 16, 3754, 16, 1647, 16, 1008, 2990, 1008, 4, 16, 175, 3754, 5015, 1349, 1008]"
5,"[5, 765, 871, 5, 1475, 1930, 5, 871, 5, 871, 5, 5, 871, 5, 871, 5, 871, 3882, 5, 871, 3815, 5, 871, 871, 4101, 5, 4101, 871, 871, 1847, 871, 871, 5, 871, 1647, 871, 5, 4101, 871, 871, 871, 4101, 871, 4101, 3432, 5, 5, 1083, 4101, 871, 5, 2603, 4101, 5, 5, 5, 2227, 5, 4101, 5, 4101, 5, 871, 4101, 871, 5, 5, 871, 2603, 5, 5, 871, 871, 5, 3720]"
6,"[6, 1202, 2200, 3000, 3331, 1725, 2933, 3432, 2227, 18, 40, 1010, 226, 1015, 2925, 3142, 2933, 3776, 2294, 4365, 4196, 2227, 3607, 3370, 3142, 2531, 1325, 2227, 1202, 151, 1252, 151, 1725, 213, 1325, 1325, 4106, 1709, 1325, 36, 357, 1325, 1325, 40, 1325, 2293, 5078, 1386, 1468, 3815, 3815]"
7,"[7, 453, 869, 18, 1382, 1077, 908, 1602, 1929, 453, 869, 2164, 869, 1929, 453, 453, 869, 869, 1929, 453, 869, 1558, 84, 869, 869, 84, 1929, 869, 869, 6, 1929, 869, 869, 453, 1929, 869, 453, 1929, 2619, 869, 1204, 869, 869, 869, 869, 3855, 1929, 453, 869, 453, 869, 869, 1570, 453, 869, 869, 869, 869, 1558, 869, 1929, 4242, 453, 3343, 1929, 777, 869, 453, 869, 1558, 1558, 869, 453, 869, 869, 869, 1929, 869, 869, 3240, 3619, 1558, 3619, 3790, 869, 869, 869, 1558]"
8,"[8, 8, 153, 324, 8, 3081, 2820, 61, 153, 908, 3010, 8, 4075, 1018, 102, 394, 3052, 153, 2311, 324, 3081, 153, 4325, 817, 8, 4325, 153, 8, 324, 153, 4325, 624, 2500, 324, 2278, 324, 4325, 4325, 4325, 8, 2566, 8, 2566, 153, 4325, 8, 4325, 4325, 8, 2531, 908, 4325, 324, 4325, 8, 324, 1930, 102, 4075, 102, 153, 4325, 2566, 153, 4325, 4325, 153, 4325, 8]"
9,"[9, 407, 501, 9, 407, 9, 501, 9, 501, 9, 407, 9, 501, 9, 501, 1515, 501, 9, 9, 9, 501, 9, 501, 9, 501, 9, 501, 9, 9, 501, 9, 9, 501, 501, 9, 501, 9, 501, 9, 501, 501, 9, 501, 501, 501, 9, 407, 501, 9, 501, 407, 501, 9, 9, 9, 9, 501, 9, 9, 501, 501, 9, 9, 501, 501, 501, 501, 9, 9, 501, 501, 501, 9, 501, 501, 501, 501, 9, 501, 501, 9, 501, 9, 501, 501, 501, 9, 501, 9, 501, 9, 501, 501, 9, 9, 501, 9, 501, 501, 9, 501, 9, 9, 501, 9, 9, 9, 9, 501, 501, 9, 501, 9, 9, 3758, 4940, 501, 9, 9, 501, 501, 501, 9, 501, 501, 501, 501, 9, 501, 501, 501]"
