original_uid,new_uid
470,0
979,1
69,2
87,3
642,4
428,5
625,6
116,7
931,8
53,9
445,10
135,11
891,12
803,13
699,14
100,15
443,16
689,17
390,18
230,19
834,20
962,21
1032,22
525,23
1047,24
751,25
889,26
612,27
768,28
280,29
318,30
839,31
281,32
366,33
276,34
458,35
916,36
752,37
713,38
449,39
1016,40
895,41
1012,42
749,43
438,44
217,45
225,46
628,47
504,48
226,49
235,50
1054,51
706,52
143,53
1005,54
912,55
1055,56
907,57
793,58
784,59
734,60
540,61
623,62
294,63
615,64
950,65
173,66
292,67
801,68
16,69
467,70
592,71
669,72
574,73
436,74
865,75
621,76
272,77
591,78
562,79
783,80
319,81
107,82
667,83
718,84
774,85
880,86
288,87
335,88
769,89
194,90
573,91
539,92
976,93
184,94
144,95
71,96
688,97
65,98
885,99
267,100
877,101
516,102
176,103
246,104
515,105
710,106
894,107
557,108
120,109
798,110
598,111
1078,112
195,113
662,114
425,115
756,116
553,117
702,118
129,119
256,120
118,121
864,122
951,123
809,124
371,125
121,126
204,127
420,128
49,129
50,130
29,131
519,132
117,133
526,134
645,135
258,136
611,137
984,138
354,139
373,140
902,141
571,142
84,143
440,144
185,145
653,146
559,147
639,148
816,149
786,150
1025,151
529,152
987,153
101,154
207,155
943,156
444,157
586,158
381,159
1044,160
572,161
766,162
299,163
12,164
787,165
633,166
883,167
1002,168
672,169
973,170
1026,171
422,172
365,173
4,174
940,175
191,176
130,177
806,178
1076,179
842,180
78,181
125,182
474,183
777,184
90,185
715,186
324,187
402,188
57,189
221,190
408,191
535,192
340,193
818,194
593,195
1009,196
969,197
861,198
389,199
799,200
296,201
378,202
85,203
826,204
475,205
149,206
54,207
650,208
432,209
386,210
626,211
215,212
17,213
1013,214
848,215
264,216
188,217
14,218
788,219
985,220
1083,221
279,222
208,223
556,224
619,225
990,226
722,227
1042,228
79,229
418,230
1040,231
169,232
1059,233
495,234
311,235
500,236
187,237
251,238
337,239
733,240
1070,241
903,242
417,243
800,244
312,245
936,246
721,247
291,248
271,249
348,250
152,251
772,252
1082,253
287,254
682,255
108,256
3,257
74,258
338,259
21,260
917,261
882,262
599,263
293,264
691,265
520,266
255,267
511,268
484,269
234,270
797,271
339,272
746,273
148,274
582,275
290,276
1024,277
510,278
614,279
145,280
259,281
509,282
501,283
637,284
874,285
405,286
527,287
282,288
492,289
857,290
361,291
301,292
254,293
827,294
677,295
56,296
804,297
167,298
570,299
964,300
887,301
203,302
468,303
925,304
180,305
372,306
1066,307
673,308
1079,309
364,310
770,311
663,312
805,313
881,314
313,315
238,316
161,317
578,318
844,319
1029,320
697,321
905,322
652,323
392,324
360,325
597,326
906,327
139,328
565,329
105,330
81,331
854,332
742,333
704,334
505,335
404,336
649,337
620,338
343,339
698,340
216,341
136,342
73,343
531,344
868,345
317,346
802,347
448,348
728,349
498,350
1033,351
584,352
871,353
44,354
952,355
996,356
837,357
34,358
248,359
403,360
947,361
480,362
493,363
70,364
439,365
678,366
629,367
413,368
316,369
948,370
983,371
181,372
419,373
1074,374
965,375
859,376
528,377
80,378
260,379
970,380
244,381
1021,382
855,383
396,384
175,385
241,386
285,387
869,388
83,389
879,390
521,391
95,392
409,393
778,394
275,395
727,396
1018,397
708,398
1010,399
658,400
24,401
356,402
331,403
113,404
465,405
456,406
359,407
412,408
379,409
40,410
953,411
96,412
1063,413
7,414
297,415
968,416
705,417
762,418
132,419
918,420
739,421
240,422
233,423
489,424
561,425
309,426
153,427
453,428
344,429
250,430
164,431
654,432
941,433
541,434
391,435
958,436
686,437
579,438
1060,439
549,440
995,441
423,442
560,443
357,444
202,445
473,446
269,447
141,448
499,449
307,450
397,451
332,452
104,453
1051,454
155,455
162,456
989,457
171,458
696,459
1011,460
884,461
277,462
758,463
124,464
46,465
847,466
853,467
878,468
322,469
228,470
212,471
261,472
59,473
1075,474
298,475
273,476
32,477
303,478
851,479
731,480
813,481
310,482
126,483
1071,484
695,485
568,486
179,487
305,488
52,489
388,490
491,491
186,492
110,493
231,494
159,495
2,496
680,497
701,498
363,499
58,500
461,501
656,502
47,503
469,504
471,505
836,506
375,507
543,508
1030,509
901,510
128,511
283,512
643,513
819,514
666,515
400,516
601,517
994,518
999,519
606,520
566,521
178,522
937,523
503,524
415,525
274,526
829,527
512,528
1049,529
315,530
196,531
563,532
631,533
1057,534
908,535
1068,536
830,537
575,538
182,539
170,540
457,541
922,542
55,543
198,544
1001,545
368,546
414,547
971,548
483,549
533,550
608,551
724,552
15,553
353,554
243,555
1014,556
33,557
463,558
518,559
210,560
508,561
10,562
949,563
327,564
346,565
913,566
333,567
51,568
119,569
427,570
946,571
1019,572
355,573
398,574
377,575
659,576
97,577
401,578
514,579
158,580
43,581
858,582
60,583
434,584
536,585
362,586
342,587
890,588
530,589
632,590
206,591
308,592
683,593
856,594
163,595
507,596
62,597
482,598
464,599
648,600
75,601
376,602
888,603
791,604
160,605
750,606
304,607
48,608
763,609
347,610
603,611
383,612
982,613
717,614
242,615
114,616
247,617
229,618
1053,619
927,620
37,621
660,622
893,623
481,624
537,625
1038,626
723,627
9,628
